Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Daily_Web_Visits,Ad_Spend,Customer_Segment,Satisfaction_Score,Delivery_Time,Quarter,Promotion_Flag,Return_Rate
2023-04-06,Laptop,Electronics,West,9,8802,1344.96,1827,1144.27,Frecuente,9.9,3,2,0,0.071
2023-03-26,Headphones,Accessories,South,6,5592,1294.16,8410,361.41,Nuevo,7.6,8,1,0,0.082
2024-10-12,Tablet,Electronics,North,2,1852,168.92,2399,1360.57,Ocasional,6.6,3,4,0,0.036
2022-06-26,Monitor,Accessories,East,1,195,57.88,8146,760.31,Ocasional,6.5,9,2,1,0.027
2022-04-15,Mouse,Accessories,East,9,7884,2054.02,569,1139.02,Ocasional,8.4,7,2,1,0.017
2023-12-10,Laptop,Electronics,East,5,4360,1160.55,8070,1277.6,Nuevo,8.2,14,4,1,0.01
2024-09-23,Mouse,Accessories,North,6,4920,929.18,7975,1498.27,Nuevo,6.7,13,3,0,0.076
2022-01-01,Mouse,Accessories,East,3,3474,565.0,7913,351.44,Ocasional,9.5,9,1,1,0.126
2022-02-03,Keyboard,Accessories,West,1,930,222.5,6816,444.6,Frecuente,9.8,7,1,0,0.019
2023-03-14,Tablet,Electronics,South,7,1421,248.02,4979,390.64,Frecuente,7.0,11,1,0,0.105
2022-08-24,Headphones,Accessories,North,2,634,161.1,7199,409.05,Ocasional,6.8,10,3,0,0.062
2024-07-07,Camera,Electronics,East,1,673,114.42,3132,882.02,Ocasional,6.9,2,3,1,0.005
2022-04-13,Mouse,Accessories,South,5,3135,787.7,7916,1490.41,Premium,7.5,6,2,0,0.08
2024-05-08,Smartphone,Electronics,East,6,882,184.48,5778,1485.61,Premium,9.4,14,2,0,0.038
2024-09-10,Smartphone,Electronics,East,4,1192,212.77,4859,799.62,Nuevo,8.4,5,3,0,0.091
2024-06-18,Printer,Office,South,3,390,112.08,5303,965.76,Nuevo,6.3,1,2,0,0.052
2024-09-10,Tablet,Electronics,North,1,834,95.54,5903,1292.76,Nuevo,7.9,12,3,0,0.1
2022-05-06,Smartphone,Electronics,East,6,612,83.75,853,1400.74,Frecuente,6.4,14,2,1,0.138
2024-06-18,Headphones,Accessories,West,9,8073,710.23,1828,321.71,Ocasional,7.6,10,2,0,0.037
2023-10-29,Keyboard,Accessories,North,8,2640,723.88,2832,802.24,Ocasional,7.6,9,4,0,0.141
2023-11-13,Smartphone,Electronics,North,3,3234,440.7,1588,1252.6,Frecuente,8.6,5,4,0,0.031
2022-08-21,Monitor,Accessories,West,5,4435,355.51,4676,468.74,Premium,8.2,6,3,0,0.011
2024-03-04,Smartwatch,Electronics,North,2,2302,305.07,6849,670.92,Nuevo,9.5,13,1,0,0.029
2022-04-17,Camera,Electronics,East,6,1728,307.44,6717,1478.72,Premium,6.1,13,2,0,0.122
2023-12-20,Laptop,Electronics,East,4,228,54.05,4975,1477.87,Ocasional,9.1,7,4,0,0.102
2022-03-19,Tablet,Electronics,West,6,3450,705.74,8623,1361.04,Ocasional,6.1,5,1,0,0.146
2024-07-07,Smartphone,Electronics,South,8,7456,1702.48,5869,1201.7,Ocasional,7.2,3,3,1,0.106
2023-04-30,Smartphone,Electronics,West,6,4728,705.85,1252,418.31,Frecuente,9.5,1,2,0,0.062
2024-03-22,Smartwatch,Electronics,North,7,945,124.62,7767,494.86,Ocasional,8.8,7,1,0,0.134
2022-03-08,Laptop,Electronics,North,4,296,65.05,5958,829.98,Frecuente,6.7,8,1,1,0.144
2023-09-15,Smartphone,Electronics,West,4,640,149.89,6529,849.95,Ocasional,8.0,10,3,0,0.119
2023-03-01,Tablet,Electronics,North,1,797,65.27,5871,768.14,Frecuente,8.9,12,1,1,0.083
2023-10-24,Monitor,Accessories,North,4,1456,431.89,5759,962.27,Ocasional,9.7,6,4,1,0.124
2024-04-22,Monitor,Accessories,South,6,4038,364.11,1360,624.32,Ocasional,8.5,3,2,1,0.027
2023-06-27,Tablet,Electronics,West,7,5656,355.81,5812,1128.78,Frecuente,6.1,12,2,0,0.135
2023-04-13,Mouse,Accessories,West,4,3876,302.37,8051,513.65,Frecuente,8.0,11,2,1,0.15
2023-05-19,Keyboard,Accessories,South,6,1002,114.7,3387,509.4,Ocasional,6.6,8,2,0,0.1
2024-11-15,Headphones,Accessories,East,9,2187,413.76,6226,208.29,Premium,6.2,1,4,0,0.029
2023-12-25,Mouse,Accessories,North,6,7146,1627.42,792,299.29,Frecuente,8.4,7,4,1,0.022
2022-03-31,Keyboard,Accessories,South,1,189,14.88,3801,1278.77,Frecuente,9.1,9,1,0,0.144
2024-04-24,Monitor,Accessories,East,5,940,266.02,4648,680.5,Nuevo,6.1,13,2,1,0.131
2022-01-10,Headphones,Accessories,North,1,951,127.58,9836,357.24,Ocasional,9.1,8,1,0,0.112
2022-11-17,Printer,Office,East,2,124,27.42,2538,1143.82,Frecuente,8.8,7,4,0,0.142
2024-06-29,Mouse,Accessories,West,9,7506,594.28,3127,839.89,Nuevo,9.0,6,2,0,0.076
2022-11-14,Monitor,Accessories,West,7,8176,2308.76,4381,51.31,Frecuente,7.0,6,4,1,0.133
2023-08-11,Smartphone,Electronics,East,5,2125,632.68,9930,488.21,Frecuente,7.6,1,3,0,0.024
2024-05-22,Headphones,Accessories,North,1,967,59.98,8607,281.96,Frecuente,6.5,2,2,1,0.027
2022-03-19,Headphones,Accessories,South,5,270,29.41,829,990.69,Frecuente,7.0,11,1,0,0.077
2022-10-23,Keyboard,Accessories,West,9,10035,1486.3,2722,427.05,Frecuente,7.2,6,4,1,0.05
2023-02-26,Printer,Office,North,8,6792,1125.23,8305,116.12,Ocasional,7.3,12,1,0,0.065
2024-10-03,Printer,Office,East,1,714,99.13,1053,101.3,Premium,6.7,6,4,1,0.12
2022-07-17,Smartphone,Electronics,South,5,765,157.64,8628,880.96,Ocasional,6.8,14,3,0,0.008
2024-11-04,Headphones,Accessories,East,7,4221,358.02,3173,52.15,Frecuente,9.6,3,4,0,0.108
2023-02-24,Laptop,Electronics,North,4,2108,576.48,9217,1276.21,Frecuente,9.1,3,1,1,0.013
2024-08-08,Monitor,Accessories,North,9,10530,2387.63,3289,249.99,Premium,7.4,9,3,0,0.127
2024-05-14,Keyboard,Accessories,South,6,3396,914.17,4626,917.72,Ocasional,9.8,12,2,0,0.03
2022-01-15,Monitor,Accessories,North,4,1060,213.05,6788,678.14,Ocasional,7.0,3,1,1,0.11
2022-05-10,Tablet,Electronics,East,5,480,73.07,1699,675.42,Frecuente,7.6,8,2,1,0.089
2022-03-10,Headphones,Accessories,West,3,2529,285.65,5791,126.26,Frecuente,9.3,4,1,1,0.058
2022-01-23,Smartwatch,Electronics,East,8,4792,511.97,5297,1208.07,Frecuente,7.8,11,1,1,0.04
2024-09-19,Smartwatch,Electronics,East,8,8056,605.8,7947,1341.72,Ocasional,6.9,8,3,1,0.009
2024-06-06,Tablet,Electronics,North,4,4228,947.76,9963,36.3,Frecuente,7.5,10,2,0,0.053
2024-10-10,Tablet,Electronics,East,1,653,93.78,6810,284.33,Ocasional,8.0,4,4,0,0.03
2024-03-24,Tablet,Electronics,North,9,7452,1212.51,4387,1357.78,Frecuente,8.5,5,1,1,0.02
2023-07-21,Mouse,Accessories,East,4,4128,1156.71,4360,833.25,Frecuente,7.6,9,3,1,0.111
2022-07-21,Tablet,Electronics,West,5,5090,1201.56,4470,242.06,Ocasional,7.7,5,3,0,0.032
2022-09-01,Camera,Electronics,North,5,4930,387.33,8233,320.13,Frecuente,7.1,10,3,0,0.033
2023-04-20,Smartwatch,Electronics,South,6,2610,434.37,3551,996.78,Premium,8.1,3,2,0,0.051
2023-12-11,Laptop,Electronics,North,3,2139,415.84,2086,1092.73,Nuevo,6.9,5,4,1,0.069
2024-09-29,Tablet,Electronics,South,1,226,55.4,3675,907.15,Premium,9.5,2,3,0,0.077
2023-11-20,Smartwatch,Electronics,West,2,2244,212.08,715,1430.66,Frecuente,9.0,2,4,1,0.1
2023-07-15,Monitor,Accessories,East,6,3150,578.87,1508,751.21,Frecuente,7.6,4,3,1,0.088
2023-12-24,Laptop,Electronics,South,7,3388,347.19,1355,464.4,Frecuente,9.0,7,4,0,0.072
2023-08-13,Laptop,Electronics,East,8,8736,580.31,7829,726.3,Ocasional,6.0,3,3,0,0.059
2022-04-24,Smartphone,Electronics,South,2,1102,176.53,7362,552.31,Premium,7.4,2,2,0,0.04
2024-07-13,Monitor,Accessories,East,3,2640,199.97,7119,352.14,Nuevo,7.8,13,3,0,0.106
2022-06-11,Printer,Office,West,3,2547,300.74,4887,88.03,Ocasional,7.9,8,2,0,0.048
2024-10-28,Laptop,Electronics,North,7,728,64.82,7312,541.27,Nuevo,9.0,11,4,0,0.127
2022-11-24,Camera,Electronics,South,7,3444,607.44,2032,1072.89,Ocasional,9.9,11,4,1,0.088
2024-10-03,Camera,Electronics,West,5,3140,853.66,9055,47.29,Nuevo,7.5,2,4,0,0.095
2024-03-24,Smartphone,Electronics,East,3,435,129.27,5259,669.98,Ocasional,7.4,9,1,0,0.076
2024-06-28,Keyboard,Accessories,East,4,856,72.99,9411,973.13,Frecuente,8.4,13,2,0,0.139
2022-05-31,Printer,Office,North,2,112,23.33,1946,923.4,Frecuente,7.1,7,2,1,0.063
2024-03-25,Headphones,Accessories,North,3,2247,507.79,5224,1169.44,Ocasional,6.6,13,1,0,0.064
2023-01-31,Keyboard,Accessories,West,2,1512,298.73,7115,1219.57,Frecuente,9.8,14,1,0,0.134
2024-06-23,Mouse,Accessories,South,5,4915,1196.6,5208,1073.32,Ocasional,9.2,8,2,1,0.091
2023-08-16,Mouse,Accessories,South,3,2709,663.54,4738,172.14,Premium,9.8,2,3,0,0.067
2023-06-10,Tablet,Electronics,North,7,1239,118.36,2079,723.03,Ocasional,6.9,9,2,0,0.039
2023-05-09,Tablet,Electronics,West,2,572,86.16,4119,913.04,Frecuente,6.1,13,2,0,0.037
2022-05-08,Smartwatch,Electronics,North,2,1708,93.25,2768,383.44,Nuevo,7.7,9,2,1,0.12
2024-11-06,Smartwatch,Electronics,North,4,360,42.66,3364,82.98,Frecuente,9.7,12,4,1,0.042
2022-12-08,Camera,Electronics,North,6,3822,388.34,6995,350.91,Premium,6.6,8,4,0,0.001
2022-09-25,Camera,Electronics,North,6,4680,932.97,6487,693.24,Ocasional,6.5,6,3,1,0.003
2024-07-10,Camera,Electronics,North,5,2520,487.18,6268,632.62,Ocasional,6.3,14,3,1,0.147
2024-03-29,Smartwatch,Electronics,North,2,2138,619.29,3937,281.47,Ocasional,9.1,3,1,1,0.084
2022-01-11,Keyboard,Accessories,West,3,2529,169.6,9617,1240.14,Nuevo,9.1,7,1,1,0.073
2022-04-08,Keyboard,Accessories,East,1,236,29.33,1332,1390.02,Frecuente,8.8,3,2,1,0.138
2024-01-21,Tablet,Electronics,West,6,2730,636.48,3754,318.0,Ocasional,6.2,10,1,0,0.053
2023-04-27,Headphones,Accessories,North,3,3021,872.49,1621,1395.77,Frecuente,8.9,13,2,0,0.119
2024-11-06,Smartwatch,Electronics,North,2,244,16.78,3719,46.43,Ocasional,7.8,14,4,1,0.108
2022-05-11,Camera,Electronics,South,8,728,120.06,9638,1388.94,Frecuente,6.6,4,2,0,0.072
2022-10-02,Mouse,Accessories,North,3,453,89.49,3979,1428.85,Premium,7.2,11,4,0,0.116
2022-01-12,Laptop,Electronics,South,1,379,84.38,9131,37.84,Ocasional,8.0,13,1,1,0.145
2023-01-09,Tablet,Electronics,West,3,2130,510.69,5203,1149.27,Ocasional,7.3,12,1,1,0.03
2023-05-04,Monitor,Accessories,North,8,4120,710.11,7147,1455.9,Frecuente,9.9,8,2,1,0.003
2024-09-07,Smartwatch,Electronics,South,7,3150,299.7,4845,1360.74,Nuevo,7.9,3,3,1,0.123
2022-05-17,Smartwatch,Electronics,East,7,2688,603.07,3025,1456.65,Ocasional,7.5,7,2,0,0.061
2023-08-17,Tablet,Electronics,East,2,1752,501.19,7760,834.48,Frecuente,8.7,11,3,1,0.082
2023-09-07,Keyboard,Accessories,North,7,7308,948.4,9707,135.67,Ocasional,8.6,9,3,1,0.033
2022-05-11,Tablet,Electronics,North,3,2007,160.84,3003,1277.69,Frecuente,6.0,6,2,0,0.126
2023-05-12,Tablet,Electronics,West,7,7224,479.23,7898,928.47,Premium,8.5,4,2,0,0.108
2023-05-08,Monitor,Accessories,South,9,6939,1249.31,2980,929.81,Ocasional,7.0,10,2,1,0.143
2023-02-18,Smartphone,Electronics,East,7,5516,1475.67,7310,637.54,Premium,7.5,6,1,0,0.071
2022-01-29,Printer,Office,South,2,2224,116.47,7995,866.33,Premium,8.8,7,1,0,0.146
2023-01-12,Laptop,Electronics,South,5,3985,824.4,4768,247.3,Ocasional,8.2,14,1,0,0.077
2022-01-03,Camera,Electronics,North,7,2723,638.26,7500,1114.86,Premium,7.5,1,1,0,0.093
2022-10-20,Tablet,Electronics,North,2,746,170.75,3086,131.03,Ocasional,6.7,4,4,0,0.101
2024-08-21,Laptop,Electronics,West,5,3170,245.25,1252,1100.08,Ocasional,8.0,13,3,1,0.073
2023-12-11,Smartwatch,Electronics,East,5,550,63.11,1415,1276.49,Premium,7.3,13,4,0,0.084
2022-08-14,Tablet,Electronics,North,8,480,132.45,4746,719.25,Ocasional,9.7,5,3,1,0.033
2024-06-03,Printer,Office,East,4,3284,354.4,9074,774.55,Premium,8.1,14,2,0,0.054
2024-01-23,Smartwatch,Electronics,South,2,1748,183.75,1711,482.08,Ocasional,9.5,3,1,0,0.105
2023-11-20,Headphones,Accessories,North,8,824,240.84,4829,1454.8,Premium,7.6,1,4,0,0.006
2022-03-03,Headphones,Accessories,North,4,1872,448.46,7188,1105.02,Nuevo,9.3,5,1,1,0.105
2024-02-20,Tablet,Electronics,West,3,627,103.98,2422,566.1,Frecuente,6.2,8,1,1,0.046
2024-08-09,Camera,Electronics,East,9,5661,1104.02,7355,278.71,Ocasional,7.2,1,3,0,0.041
2022-06-19,Camera,Electronics,North,3,2910,765.47,3406,344.98,Premium,6.3,3,2,1,0.104
2024-09-01,Tablet,Electronics,South,9,9036,1087.46,8182,706.6,Frecuente,6.1,12,3,0,0.032
2024-08-30,Tablet,Electronics,West,5,4815,338.31,6002,1415.0,Frecuente,9.7,9,3,0,0.144
2022-08-12,Mouse,Accessories,South,1,1187,206.28,5695,1106.54,Ocasional,8.9,9,3,1,0.149
2022-08-04,Headphones,Accessories,East,3,3339,732.92,2179,338.56,Nuevo,8.5,14,3,0,0.069
2024-02-20,Tablet,Electronics,East,1,620,165.43,4900,1292.15,Premium,8.1,4,1,1,0.06
2023-02-26,Camera,Electronics,West,5,2025,414.42,8637,579.74,Premium,8.3,13,1,0,0.012
2024-11-20,Printer,Office,East,5,3030,811.92,685,1280.55,Frecuente,8.6,5,4,1,0.117
2023-08-12,Smartwatch,Electronics,North,5,655,166.69,7705,377.72,Frecuente,9.3,13,3,0,0.024
2022-01-17,Printer,Office,West,2,2238,294.54,5181,935.62,Nuevo,8.4,11,1,0,0.14
2023-04-12,Smartphone,Electronics,South,8,3312,811.31,7334,1391.47,Nuevo,9.0,3,2,0,0.149
2023-07-26,Printer,Office,East,9,9387,1271.64,6801,401.68,Nuevo,7.1,3,3,1,0.018
2024-01-01,Mouse,Accessories,West,6,5790,1285.21,4604,1045.53,Premium,9.9,8,1,0,0.102
2023-12-06,Laptop,Electronics,South,6,2700,527.97,3432,1481.22,Frecuente,6.1,8,4,0,0.07
2023-12-05,Smartwatch,Electronics,East,8,2072,555.06,6459,242.89,Ocasional,7.5,4,4,0,0.081
2024-10-27,Keyboard,Accessories,North,3,2991,716.54,1832,150.84,Frecuente,9.5,4,4,0,0.027
2024-08-04,Laptop,Electronics,East,6,5568,958.59,6048,1017.81,Ocasional,6.7,13,3,0,0.109
2023-02-01,Smartwatch,Electronics,North,7,5509,1648.74,1399,522.81,Frecuente,6.6,11,1,1,0.025
2024-06-02,Printer,Office,West,7,5922,1323.1,6673,125.44,Frecuente,7.5,3,2,0,0.133
2024-04-28,Smartphone,Electronics,South,4,4380,362.81,6473,723.45,Nuevo,7.7,11,2,0,0.068
2022-03-25,Tablet,Electronics,South,5,1760,272.68,1302,1135.58,Frecuente,9.7,3,1,0,0.095
2024-10-05,Headphones,Accessories,North,9,5571,1523.81,7696,441.98,Nuevo,9.3,7,4,0,0.138
2024-12-19,Tablet,Electronics,South,2,1082,182.1,4450,515.87,Frecuente,7.9,1,4,0,0.111
2022-07-18,Camera,Electronics,East,1,569,138.11,7975,1271.64,Premium,9.9,10,3,0,0.081
2023-06-11,Mouse,Accessories,North,8,3416,697.42,895,789.71,Frecuente,8.6,3,2,0,0.06
2024-10-13,Printer,Office,West,1,570,57.07,2204,1267.24,Frecuente,9.5,4,4,1,0.069
